consumer,seed_order_index,test_used,what_it_exercises,baseline1,baseline2,swapped1,swapped2,verdict,notes
rsync,14,upstream-tests,"full upstream regression suite (36 file-transfer/daemon-mode/ACL/checksum tests); rsync's checksums and daemon-mode challenge-response auth go through libcrypto's EVP/MD interfaces",PASS,PASS,PASS,PASS,pass,already validated in the phase-2 pilot before the batch sample was finalized
freeradius,1,freeradius,"starts the FreeRADIUS daemon and runs its client authentication test suite (freeradius-utils); RADIUS/EAP auth paths use libssl for certificate and key handling",PASS,PASS,PASS,PASS,pass,
libsasl2-modules,2,pluginviewer,"loads and enumerates every installed SASL mechanism plugin (SCRAM/DIGEST-MD5/etc.), several of which call into libcrypto for their cryptographic mechanisms",PASS,PASS,PASS,PASS,pass,
unbound-host,3,runzones,"live DNS resolution including DNSSEC signature validation against real root/TLD servers over the internet -- direct libcrypto signature-verification exercise",PASS,PASS,PASS,PASS,pass,rerun after adding the 'unbound' package (provides unbound-checkconf, which the test script calls but which is not on the test's own declared Depends: line -- a pre-existing gap in the autopkgtest's Depends, not something we introduced)
libcjose0,-,make test,"cjose's full JOSE (JWT/JWK/JWE) unit test suite: AES, RSA, and EC sign/verify/encrypt/decrypt operations directly through libcrypto",PASS,PASS,PASS,PASS,pass,"substitute for kea-ctrl-agent (seed index 0), which is excluded -- see phase2-excluded below"
rspamd,8,configcheck,"validates rspamd's full configuration by running the actual daemon binary, which links libssl for DKIM signing/verification and TLS",PASS,PASS,PASS,PASS,pass,
libstrongswan-standard-plugins,17,plugins,"strongSwan's IPsec/IKE crypto plugin self-tests: Diffie-Hellman, certificate handling, and cipher operations through libcrypto",PASS,PASS,PASS,PASS,pass,ran the 'plugins' stanza (self-contained plugin self-test) rather than 'daemon' (needs a running charon/starter service under systemd, unavailable in the container)
swtpm-libs,16,commandline,"swtpm command-line TPM emulation tests, exercising TPM crypto operations layered on libcrypto",PASS,PASS,PASS,PASS,pass,rerun after installing the sibling 'swtpm' binary package (the test's Depends: line lists only '@', but the test script shells out to the swtpm binary from a different package built from the same source)
kea-ctrl-agent,0,smoke-tests,"intended: curl+jq against the running kea-ctrl-agent REST API over its control socket",FAIL,FAIL,FAIL,FAIL,excluded-environment,"stable FAIL/FAIL/FAIL/FAIL -- the smoke test asserts on systemd-managed PID files (/run/kea/*.pid) that are only created when the daemon is started via its systemd unit; our container has no init system as PID 1 to run that unit, so the daemon never starts under EITHER libssl3 version. Not a signal either way. Replaced by libcjose0."
syslog-ng-mod-sql,4,basic,"starts syslog-ng, sends a log message, checks it was logged (Depends: syslog-ng-core stanza)",PASS,FAIL,PASS,-,excluded-unstable,"baseline itself was unstable (PASS then FAIL): run 2 failed because syslog-ng from run 1 was still bound to the pidfile/port when the test script started it again -- a test-script state-cleanup gap when the same script runs twice in one container, not a real regression. Excluded per the flakiness-control rule (both baseline runs must be stable to count); swapped2 not run since the consumer is already excluded."
r-cran-openssl,6,run-unit-test,"intended: R testthat unit tests over r-cran-openssl's cryptographic bindings",-,-,-,-,not-completed,"aborted within the timebox: apt-get install r-cran-openssl pulls Debian's r-base Recommends chain (400+ packages including X11/video-driver/texlive-adjacent packages) via r-cran-testthat/r-cran-sodium's own Recommends, disproportionate to what the test needs. Replaced by dnssec-trigger, which was itself excluded (see below); ultimately backfilled by libstrongswan-standard-plugins and swtpm-libs."
dnssec-trigger,-,small-key,"intended: DNSSEC trust-anchor key rollover test",FAIL,FAIL,FAIL,FAIL,excluded-environment,"stable FAIL/FAIL/FAIL/FAIL -- the test script expects the real autopkgtest directory layout (looks for '../../binaries/dnssec-trigger.deb' relative to its working directory), which only exists under actual autopkgtest infrastructure. Attempted as a substitute for r-cran-openssl; itself excluded and replaced by libstrongswan-standard-plugins / swtpm-libs."
gsocket,9,upstream-tests,"intended: gsocket's socket-relay 'blitz' test, spawning/killing local peer processes over a rendezvous",FAIL,FAIL,FAIL,FAIL,excluded-environment,"stable FAIL/FAIL/FAIL/FAIL -- fails with 'kill: No such process', consistent with the test's process/PID management not working correctly inside this container's process namespace. Not a libssl3-attributable signal."
libserf-1-1,7,upstream-tests,"intended: serf HTTP client library's own test suite against a local test server, using libssl for TLS",FAIL,FAIL,FAIL,FAIL,excluded-environment,"stable FAIL/FAIL/FAIL/FAIL -- fails with 'apr.h: No such file or directory' even after apt-get build-dep (which the test's Depends: line explicitly requests via @builddeps@); root cause not fully diagnosed within the timebox. Not a libssl3-attributable signal (identical failure under both library versions)."
fossil,-,tclsh test/tester.tcl,"intended: fossil's full DVCS regression suite (thousands of individual assertions)",incomplete,-,-,-,not-completed,"attempted as a late backfill after libserf-1-1/gsocket were excluded; baseline1 alone was still running (8000+ assertions passed, zero failures observed) when it was terminated for the timebox. No verdict either way -- not counted in the sample."
